Brand,Model Name,Model Image,Weight(g),Width(px),Height(px),ROM(MB),RAM(MB),Battery Capacity(mAh),Price(USD)
sony,Sony Xperia XZ1 Compact,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-compact.jpg,140.0,720,1280,32000.0,4000.0,2700.0,338.99999999999994
sony,Sony Xperia L1,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l1-.jpg,180.0,720,1280,16000.0,2000.0,2620.0,124.29999999999998
sony,Sony Xperia XZs,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xzs-2017.jpg,161.0,1080,1920,32000.0,4000.0,2900.0,248.59999999999997
sony,Sony Xperia XZ Premium,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz-premium-2017.jpg,195.0,2160,3840,64000.0,4000.0,3230.0,361.59999999999997
sony,Sony Xperia XA1 Ultra,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-ultra-2017.jpg,188.0,1080,1920,32000.0,4000.0,2700.0,282.5
sony,Sony Xperia XA1,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-2017.jpg,143.0,720,1280,32000.0,3000.0,2300.0,158.2
sony,Sony Xperia X Compact,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-x-compact.jpg,135.0,720,1280,32000.0,3000.0,2700.0,248.59999999999997
sony,Sony Xperia E5,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e5r.jpg,147.0,720,1280,16000.0,1500.0,2300.0,135.6
sony,Sony Xperia XA Ultra,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa-ultra.jpg,202.0,1080,1920,16000.0,3000.0,2700.0,282.5
sony,Sony Xperia XA Dual,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa--.jpg,137.4,720,1280,16000.0,2000.0,2300.0,225.99999999999997
sony,Sony Xperia XA,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa--.jpg,137.4,720,1280,16000.0,2000.0,2300.0,112.99999999999999
